,title,region,version,crc32,status,Project Lunar Version,notes,EXTRA FILES,,,,,,,,,,,,,,,,,
,Batman Forever,World,,8B723D01,Unplayable,1.0.7251.40474,Plays with glitched sprites/textures everywhere.,,,,,,,,,,,,,,,,,,
,Batman Forever,World,o1,E912B4BD,Doesn't Work,1.0.25.41117,Blackscreen,,,,,,,,,,,,,,,,,,
,Batman Returns,World,,4A3225C0,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Battle Golfer Yui,Japan,,4AA03E4E,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Battle Mania,Japan,,A76C4A29,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Battle Mania Daiginjou,"Japan, Korea",,312FA0F2,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Battle Squadron,"USA, Europe",,0FEAA8BF,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Battlemaster,USA,,FD2B35E3,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,BattleTech - A Game of Armored Combat,USA,,409E5D14,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Battletoads,World,,D10E103A,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Battletoads-Double Dragon,USA,,8239DD17,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Beast Warriors,Japan,,4646C694,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Beast Wrestler,USA,,0CA5BB64,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Beauty and the Beast - Belle's Quest,USA,,BEFB6FAE,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Beauty and the Beast - Roar of the Beast,USA,,13E7B519,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Beavis and Butt-Head,Europe,,C7B6435E,Works,1.0.7251.40474,Image is downscaled ,,,,,,,,,,,,,,,,,,
,Beavis and Butt-Head,USA,,F5D7B948,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,"Berenstain Bears' Camping Adventure, The",USA,,1F86237B,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Best of the Best - Championship Karate,USA,,C3D6A5D4,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Beyond Oasis,USA,,C4728225,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Bill Walsh College Football,"USA, Europe",,3ED83362,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Bill Walsh College Football 95,USA,,A582F45A,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Bimini Run,USA,,D4DC5188,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Bio Hazard Battle,"USA, Europe",,95B0EA2B,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Bishoujo Senshi Sailor Moon,Japan,,5E246938,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Blades of Vengeance,"USA, Europe",,74C65A49,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Blaster Master 2,USA,,C11E4BA1,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
